243,SUPERMERCADO ,NO TIENE,CALLE 26 No. 11-05,
244,SUPERMERCADO ,NO TIENE,CALLE 26 No. 11-70,
245,SUPERMERCADO ,LA ESQUINITA,CRA 12 No. 24-105,
246,SUPERMERCADO ,VIVERES MERCATODO,CARRERA 10#11A-02,
247,SUPERMERCADO ,CENTRAL DE CARNES EL BOSQUE,CARRERA 10#12-66,
248,SUPERMERCADO ,SANTA CATALINA,CRA ESTE NO: 70-07,
249,SUPERMERCADO ,VILLA LUZ,CARRERA 9 # 59-62,
250,SUPERMERCADO ,MARTHA,DIAGONAL 60 # 7-39,
252,SUPERMERCADO ,COMESTIBLES,TRANSVERSAL 3 # 59-97,
253,SUPERMERCADO ,AUTOSERVICIO LA VILLA,CLL 60 No 6-03,
254,SUPERMERCADO ,ANGEL,CARRERA 14#23-18,
255,SUPERMERCADO ,MULTISERVICIOS PRIETO,KRA 9C No 59-41,
256,SUPERMERCADO ,ALKOSTO,KRA 9B No 60B-33,
257,SUPERMERCADO ,NEW SAUSES,DG 60 No 9-14,
258,SUPERMERCADO ,EL PROVEEDOR,CARRERA 3 ESTE# 26A-00-31,
260,SUPERMERCADO ,MERKALCOSTO,CARRERA 10#17-33,
261,SUPERMERCADO ,EL CONVENIO,CARRERA 15#20-96,
262,SUPERMERCADO ,SUPERMERCADO,CARRERA 11 #15-98,
263,SUPERMERCADO ,E Y N,DIAGONAL 26A#3ESTE 10,
264,SUPERMERCADO ,MAS Y MAS MERKA,CARRERA 19#25-61,
265,SUPERMERCADO ,LA ESTRELLA,TRANSVERSAL 15#25-21,
266,SUPERMERCADO ,FRUVERS Y DEPOSITO DE PAPA,CALLE 17#14A-74,
267,SUPERMERCADO ,SUPERMERCADO,CARRERA 15#15-25,
268,SUPERMERCADO ,LA SEXTA,CARRERA 6#17-50,
269,SUPERMERCADO ,LA TOCANITA,CARRERA 7#18-39,
270,SUPERMERCADO ,EL BOSQUE,KRA 11 No 14-99,
271,SUPERMERCADO ,EL SOL,KRA 11 No 24-07,
272,SUPERMERCADO ,SUPERMERCADO TANIA,CLL 15 No 4-50,
273,SUPERMERCADO ,SUPERMERCADO FRUTAS Y VERDURAS,CLL 15 No 4-66,
274,SUPERMERCADO ,CARPA VERDE,CLL 15 No 4-94,
275,SUPERMERCADO ,FRUTAS Y VERDURAS DE LA 17,CLL 17 No 8-09,
277,SUPERMERCADO ,CINCO ESQUINAS,CLL 17 No 14-107,
278,SUPERMERCADO ,SIN NOMBRE,CLL 17 No 14A-74,
279,SUPERMERCADO ,SIN NOMBRE,KRA 15 No 15-04,
82,SUPERMERCADO ,LA VIÑA,KRA 6 No 64-200 MUISCAS,
126,SUPERMERCADO ,SIN NOMBRE,KRA 6 CON KRA 4AB DOÑA EVA,
